Nombre,Lat,Lon
bonpreu.cat,40.4165,-3.70256
vidacaixa.es,41.3888,2.15899
lidl.es,51.5085,-0.12574
servisama.com,42.4667,-2.45
servisama.com,42.4667,-2.45
petrocat.cat,10.3167,123.891
rfp28.es,42.4667,-2.45
gipsa.net,42.4667,-2.45
unnim.cat,41.5667,2.01667
kingswood.bath.sch.uk,50.4715,-4.7243
meroil.es,40.4165,-3.70256
telvent.com,42.6851,-71.1071
agroxarxa.com,41.6167,0.61667
agroxarxa.com,41.6167,0.61667
hsbc.com,53.383,-1.4659
camaradesevilla.com,50.6942,3.17456
grupotgt.es,36.9451,-2.46302
fundacion-biodiversidad.es,40.4165,-3.70256
oh-es.com,53.344,-6.26719
psicotec.es,40.4165,-3.70256
santelmo.org,40.4165,-3.70256
armariosnca.com,37.8833,-4.76667
lists.corresponsables.com,49.4478,11.0683
arval.es,48.8534,2.3488
aegon.es,53.344,-6.26719
ccc.es,43.2397,-2.8858
grupocopisa.com,41.3888,2.15899
seat.es,41.3888,2.15899
novartis.com,39.0341,-77.4885
rosclar.com,40.4165,-3.70256
gfl.it,43.4614,11.8769
biocompatibles.com,51.5085,-0.12574
monotypeimaging.co.uk,42.2663,-71.6181
prometheanworld.com,32.8944,-117.201
franklintempleton.com,43.0033,-73.8624
aspentech.com,42.5085,-71.2011
infratects.com,52.374,4.88969
yelp.com,37.7885,-122.395
b2xcare.com,53.344,-6.26719
akamai.com,51.7333,-2.36667
h10hotels.com,41.3888,2.15899
humandimension.com,50.6942,3.17456
lalin.org,36.9451,-2.46302
lysasesores.com,45.698,9.66895
promociones.antena3tv.com,50.2715,1.67163
oneplanconsulting.com,40.4165,-3.70256
abanteasesores.com,42.4667,-2.45
barahona.es,36.9451,-2.46302
dirac.es,40.4165,-3.70256
gazcam.com,41.3888,2.15899
rubiestarragona.org,45.698,9.66895
jumainox.com,40.4165,-3.70256
gigigo.com,50.4779,12.3713
nh-hotels.com,40.4165,-3.70256
edem.es,39.4697,-0.37739
stoagallery.com,42.4667,-2.45
d226.servihosting.net,38.3452,-0.48149
sorigue.com,41.9316,2.80907
caixabank.com,41.3888,2.15899
ofertaslaguiago.com,50.6942,3.17456
descuentosencupones.com,50.6942,3.17456
elmosca.es,40.4165,-3.70256
marcaria.com,40.664,-74.2107
aconsultors.es,37.987,-1.13004
aconsultors.es,37.987,-1.13004
gruposorigue.com,41.9316,2.80907
club-tenis.com,40.4165,-3.70256
sender2.solostocks.com,38.3452,-0.48149
s21sec.com,40.4165,-3.70256
ahorrocorporacion.com,40.4165,-3.70256
impulsocoach.com,49.0047,8.38583
maxam.net,39.4697,-0.37739
bnpparibas.com,51.5085,-0.12574
media-saturn.com,51.3392,6.58615
compass-group.es,40.4165,-3.70256
secopsa.es,40.4165,-3.70256
info.service-now.com,43.6466,-79.4024
euformacion.com,36.9451,-2.46302
venanci.com,40.4165,-3.70256
compromisoempresarial.com,50.6942,3.17456
i.decomprasbbva.com,50.2715,1.67163
grupoigsa.es,39.4697,-0.37739
volotea.com,41.3888,2.15899
undemursgr.es,36.7202,-4.42034
bbraun.com,51.1303,9.55236
